Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
182, 1, LOC_CITY_NAME_AKSHAK, , CONTRACT 6327, SUBMITTED, NO_UNIT, BUILDING_SEWER, NO_DISTRICT, VALUE 119.0, Build City Building
182, 4, LOC_CITY_NAME_PRESTON, , CONTRACT 6347, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_ENTERTAINMENT_COMPLEX, VALUE 833.0, Build City District
182, 4, LOC_CITY_NAME_LONDON, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_SHEFFIELD, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_BIRMINGHAM, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_PLYMOUTH, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_KANDY, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_BRADFORD, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 4, LOC_CITY_NAME_PRESTON, , CONTRACT 6352, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
182, 5, PURCHASE, , , UNIT_AT_CREW, Siege City Assault, CONTRACT 6296
182, 5, FAITH PURCHASE, , , UNIT_MISSIONARY, Unknown, CONTRACT 6303
182, 5, LOC_CITY_NAME_PARIS, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_BORDEAUX, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_LA_ROCHELLE, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_ROUEN, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_NANTES, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_RENNES, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_MARSEILLE, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_MOHENJO_DARO, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_TOULOUSE, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_RHEIMS, , CONTRACT 6354, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
182, 5, LOC_CITY_NAME_PARIS, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_BORDEAUX, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_LA_ROCHELLE, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_ROUEN, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_NANTES, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_RENNES, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_MARSEILLE, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_MOHENJO_DARO, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_TOULOUSE, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 5, LOC_CITY_NAME_RHEIMS, , CONTRACT 6357, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 147.0, Build City Improvement
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 5949, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 186.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 5992, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 26.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6037, COMPLETED, UNIT_KNIGHT, NO_BUILDING, NO_DISTRICT, VALUE 4192.0, Siege City Assault
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6046, FAILED, NO_UNIT, BUILDING_STOCK_EXCHANGE, NO_DISTRICT, VALUE 467.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6083, COMPLETED, UNIT_KNIGHT, NO_BUILDING, NO_DISTRICT, VALUE 4192.0, Siege City Assault
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6087, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 24.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6089, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 170.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6091, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 169.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6132, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 34.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6173, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 30.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6176, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 22.0, Unknown
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6178, FAILED, NO_UNIT, BUILDING_BROADCAST_CENTER, NO_DISTRICT, VALUE 414.7, Unknown
182, 6, LOC_CITY_NAME_BELEM, , , BUILDING_STAR_FORT, Default Specialization, , , Value 703.6
182, 6, LOC_CITY_NAME_GOIANIA, 0.81, -0.54, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: -0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
182, 6, LOC_CITY_NAME_GOIANIA, , , BUILDING_MONUMENT, Default Specialization, , , Value 142.3
182, 6, LOC_CITY_NAME_NATAL, , CONTRACT 6359, SUBMITTED, NO_UNIT, BUILDING_BANK, NO_DISTRICT, VALUE 717.0, Build City Building
182, 6, LOC_CITY_NAME_GUARULHOS, , CONTRACT 6361, SUBMITTED, NO_UNIT, BUILDING_WATER_MILL, NO_DISTRICT, VALUE 309.0, Build City Building
182, 6, LOC_CITY_NAME_BELEM, , CONTRACT 6363, SUBMITTED, NO_UNIT, BUILDING_STAR_FORT, NO_DISTRICT, VALUE 703.0, Build City Building
182, 7, PURCHASE, , , UNIT_BOMBER, Siege City Assault, CONTRACT 6312
182, 16, LOC_CITY_NAME_BANDAR_BRUNEI, , CONTRACT 5037, COMPLETED, NO_UNIT, BUILDING_STAR_FORT, NO_DISTRICT, VALUE 612.4, Build City Building
182, 16, LOC_CITY_NAME_BANDAR_BRUNEI, , , BUILDING_SEWER, Default Specialization, , , Value 232.1
182, 20, LOC_CITY_NAME_VALLETTA, , CONTRACT 6012, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 139.0, Build City Improvement
182, 20, LOC_CITY_NAME_VALLETTA, , CONTRACT 6014, FAILED, UNIT_CROSSBOWMAN, NO_BUILDING, NO_DISTRICT, VALUE 32.0, Unknown
182, 20, LOC_CITY_NAME_VALLETTA, , , UNIT_CROSSBOWMAN, Default Specialization, , , Value 8.6
182, 24, LOC_CITY_NAME_HATTUSA, , CONTRACT 5867, FAILED, NO_UNIT, BUILDING_UNIVERSITY, NO_DISTRICT, VALUE 65.6, Unknown
182, 24, LOC_CITY_NAME_HATTUSA, , CONTRACT 5915, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HARBOR, VALUE 399.3, Build City District
182, 24, LOC_CITY_NAME_HATTUSA, , , BUILDING_LIGHTHOUSE, Default Specialization, , , Value 232.0
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 5640, CANCELLED, NO_UNIT, BUILDING_EIFFEL_TOWER, NO_DISTRICT, VALUE 120.9, Unknown
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 5748, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 96.0, Unknown
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 5829, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 87.0, Unknown
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 5966, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 200.0, Unknown
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 5969, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 211.0, Unknown
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 6017, FAILED, NO_UNIT, BUILDING_AIRPORT, NO_DISTRICT, VALUE 439.0, Unknown
183, 1, LOC_CITY_NAME_NIPPUR, , CONTRACT 6104, IN PROGRESS, UNIT_MACHINE_GUN, NO_BUILDING, NO_DISTRICT, VALUE 935.0, Siege City Assault
183, 1, LOC_CITY_NAME_NIPPUR, , , BUILDING_AIRPORT, Build City Building, CONTRACT 6331
183, 2, PURCHASE, , , UNIT_AT_CREW, Simple Operation Attack, CONTRACT 6111
183, 2, LOC_CITY_NAME_NIDAROS, , CONTRACT 6111, COMPLETED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 213.2, Simple Operation Attack
183, 2, LOC_CITY_NAME_NIDAROS, , CONTRACT 6114, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 1.8, Build Trigger Building
183, 2, LOC_CITY_NAME_NIDAROS, , CONTRACT 6249, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Unknown
183, 2, LOC_CITY_NAME_NIDAROS, , , DISTRICT_AERODROME, Build City District, CONTRACT 6250
183, 2, LOC_CITY_NAME_GENEVA, , CONTRACT 6111, COMPLETED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 213.2, Simple Operation Attack
183, 2, LOC_CITY_NAME_GENEVA, , CONTRACT 6249, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Unknown
183, 2, LOC_CITY_NAME_GENEVA, , , BUILDING_MONUMENT, Default Specialization, , , Value 500.4
183, 2, LOC_CITY_NAME_NIDAROS, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_KRISTIANSAND, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_STAVANGER, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_KABUL, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_SKEDSMO, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_SKIEN, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_OSLO, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_AVALDSNES, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_GENEVA, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_ALESUND, , CONTRACT 6372, SUBMITTED, UNIT_AT_CREW, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
183, 2, LOC_CITY_NAME_AVALDSNES, , CONTRACT 6374, SUBMITTED, NO_UNIT, BUILDING_STAR_FORT, NO_DISTRICT, VALUE 543.0, Build City Building
183, 4, PURCHASE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 6352
183, 4, LOC_CITY_NAME_SHEFFIELD, , CONTRACT 6261, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
183, 4, LOC_CITY_NAME_SHEFFIELD, , CONTRACT 6263, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Unknown
183, 4, LOC_CITY_NAME_SHEFFIELD, , CONTRACT 6352, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
183, 4, LOC_CITY_NAME_SHEFFIELD, , , UNIT_TRADER, Default Specialization, , , Value 270.8
183, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6074, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 861.0, Build City District
183, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6352, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
183, 4, LOC_CITY_NAME_BRISTOL, , , BUILDING_LIBRARY, Default Specialization, , , Value 663.3
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6117, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 68.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6159, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6163, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6166, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 75.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6196, CANCELLED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6198, CANCELLED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6261, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6263, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Unknown
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6352, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
183, 4, LOC_CITY_NAME_LEEDS, , , BUILDING_MILITARY_ACADEMY, Default Specialization, , , Value 551.3
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 5882, FAILED, NO_UNIT, BUILDING_BANK, NO_DISTRICT, VALUE 760.8, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 5981, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 94.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6071, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 841.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6117, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 68.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6159, COMPLETED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6163, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6166, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 75.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6196, CANCELLED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6198, CANCELLED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 266.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6261, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6263, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Unknown
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6352, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
183, 4, LOC_CITY_NAME_MANCHESTER, , , DISTRICT_ENTERTAINMENT_COMPLEX, Build City District, CONTRACT 6073
183, 4, LOC_CITY_NAME_PRESTON, , CONTRACT 6261, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 103.0, Unknown
183, 4, LOC_CITY_NAME_PRESTON, , CONTRACT 6263, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Unknown
183, 4, LOC_CITY_NAME_PRESTON, , CONTRACT 6352, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
183, 4, LOC_CITY_NAME_PRESTON, , , BUILDING_BANK, Default Specialization, , , Value 678.8
183, 4, LOC_CITY_NAME_LONDON, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_SHEFFIELD, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_BIRMINGHAM, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_PLYMOUTH, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_LEEDS, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_KANDY, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_BRADFORD, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_MANCHESTER, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_PRESTON, , CONTRACT 6376, SUBMITTED, UNIT_ENGLISH_REDCOAT, NO_BUILDING, NO_DISTRICT, VALUE 239.0, Siege City Assault
183, 4, LOC_CITY_NAME_LONDON, , CONTRACT 6377, SUBMITTED, NO_UNIT, BUILDING_SEWER, NO_DISTRICT, VALUE 0.0, Build Trigger Building
183, 4, LOC_CITY_NAME_LONDON, , CONTRACT 6378, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 128.0, Build City Improvement
183, 4, LOC_CITY_NAME_SHEFFIELD, , CONTRACT 6378, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 128.0, Build City Improvement
183, 4, LOC_CITY_NAME_BRISTOL, , CONTRACT 6378, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 128.0, Build City Improvement
183, 4, LOC_CITY_NAME_BIRMINGHAM, , CONTRACT 6378, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 128.0, Build City Improvement
