Game Analysis
===TECHNOLOGIES===
Name,,Era,QuickestPathLength,QuickestPathCost,ResearchCost
LOC_BUILDING_WORKSHOP_NAME,LOC_TECH_APPRENTICESHIP_NAME,ERA_MEDIEVAL,7,690,195,1.50
LOC_BUILDING_ARMORY_NAME,LOC_TECH_MILITARY_ENGINEERING_NAME,ERA_MEDIEVAL,7,890,195,1.00
LOC_BUILDING_SHIPYARD_NAME,LOC_TECH_MASS_PRODUCTION_NAME,ERA_RENAISSANCE,12,2070,290,-1.00
LOC_BUILDING_BANK_NAME,LOC_TECH_BANKING_NAME,ERA_RENAISSANCE,11,2210,290,2.50
LOC_BUILDING_STAR_FORT_NAME,LOC_TECH_SIEGE_TACTICS_NAME,ERA_RENAISSANCE,8,1550,305,0.00
LOC_BUILDING_FACTORY_NAME,LOC_TECH_INDUSTRIALIZATION_NAME,ERA_INDUSTRIAL,15,4115,390,2.00
LOC_BUILDING_ELECTRONICS_FACTORY_NAME,LOC_TECH_INDUSTRIALIZATION_NAME,ERA_INDUSTRIAL,15,4115,390,3.00
LOC_BUILDING_STOCK_EXCHANGE_NAME,LOC_TECH_ECONOMICS_NAME,ERA_INDUSTRIAL,20,6580,390,3.50
LOC_BUILDING_MILITARY_ACADEMY_NAME,LOC_TECH_MILITARY_SCIENCE_NAME,ERA_INDUSTRIAL,15,3715,390,2.00
LOC_BUILDING_SEWER_NAME,LOC_TECH_SANITATION_NAME,ERA_INDUSTRIAL,14,4685,200,-1.00
LOC_BUILDING_HANGAR_NAME,LOC_TECH_FLIGHT_NAME,ERA_MODERN,20,7690,465,1.50
LOC_BUILDING_SEAPORT_NAME,LOC_TECH_ELECTRICITY_NAME,ERA_MODERN,17,6335,580,3.00
LOC_BUILDING_POWER_PLANT_NAME,LOC_TECH_ELECTRICITY_NAME,ERA_MODERN,17,6335,580,2.50
LOC_BUILDING_BROADCAST_CENTER_NAME,LOC_TECH_RADIO_NAME,ERA_MODERN,22,9910,580,2.50
LOC_BUILDING_FILM_STUDIO_NAME,LOC_TECH_RADIO_NAME,ERA_MODERN,22,9910,580,2.50
LOC_BUILDING_RESEARCH_LAB_NAME,LOC_TECH_CHEMISTRY_NAME,ERA_MODERN,15,5935,580,3.50
LOC_BUILDING_AIRPORT_NAME,LOC_TECH_ADVANCED_FLIGHT_NAME,ERA_ATOMIC,23,11320,600,2.00
LOC_BUILDING_SMALL_ROCKET_NAME,NO_TECH,ERA_ANCIENT,0,0,1,0.00
LOC_BUILDING_MEDIUM_ROCKET_NAME,NO_TECH,ERA_ANCIENT,0,0,1,0.00
LOC_BUILDING_LARGE_ROCKET_NAME,NO_TECH,ERA_ANCIENT,0,0,1,0.00
===UNITS===
Name,TechName,TechEra,TechQuickestPathLength,TechQuickestPathCost,ProductionCost,Value
LOC_UNIT_WARRIOR_MONK_NAME,NO_TECH,ERA_ANCIENT,0,0,100,35.00
LOC_UNIT_SCOUT_NAME,NO_TECH,ERA_ANCIENT,0,0,30,10.00
LOC_UNIT_WARRIOR_NAME,NO_TECH,ERA_ANCIENT,0,0,40,20.00
LOC_UNIT_SLINGER_NAME,NO_TECH,ERA_ANCIENT,0,0,35,15.00
LOC_UNIT_BARBARIAN_HORSEMAN_NAME,NO_TECH,ERA_ANCIENT,0,0,40,20.00
LOC_UNIT_BARBARIAN_HORSE_ARCHER_NAME,NO_TECH,ERA_ANCIENT,0,0,35,15.00
LOC_UNIT_SUMERIAN_WAR_CART_NAME,NO_TECH,ERA_ANCIENT,0,0,55,30.00
LOC_UNIT_BARBARIAN_GALLEY_NAME,LOC_TECH_SAILING_NAME,ERA_ANCIENT,1,50,65,25.00
LOC_UNIT_GALLEY_NAME,LOC_TECH_SAILING_NAME,ERA_ANCIENT,1,50,65,25.00
LOC_UNIT_NORWEGIAN_LONGSHIP_NAME,LOC_TECH_SAILING_NAME,ERA_ANCIENT,1,50,65,30.00
LOC_UNIT_ARCHER_NAME,LOC_TECH_ARCHERY_NAME,ERA_ANCIENT,2,75,60,25.00
LOC_UNIT_SPEARMAN_NAME,LOC_TECH_BRONZE_WORKING_NAME,ERA_ANCIENT,2,105,65,25.00
LOC_UNIT_HEAVY_CHARIOT_NAME,LOC_TECH_THE_WHEEL_NAME,ERA_ANCIENT,2,105,65,28.00
LOC_UNIT_GREEK_HOPLITE_NAME,LOC_TECH_BRONZE_WORKING_NAME,ERA_ANCIENT,2,105,65,25.00
LOC_UNIT_SWORDSMAN_NAME,LOC_TECH_IRON_WORKING_NAME,ERA_CLASSICAL,3,225,90,36.00
LOC_UNIT_HORSEMAN_NAME,LOC_TECH_HORSEBACK_RIDING_NAME,ERA_CLASSICAL,3,195,80,36.00
LOC_UNIT_SCYTHIAN_HORSE_ARCHER_NAME,LOC_TECH_HORSEBACK_RIDING_NAME,ERA_CLASSICAL,3,195,100,25.00
LOC_UNIT_ROMAN_LEGION_NAME,LOC_TECH_IRON_WORKING_NAME,ERA_CLASSICAL,3,225,110,40.00
LOC_UNIT_KONGO_SHIELD_BEARER_NAME,LOC_TECH_IRON_WORKING_NAME,ERA_CLASSICAL,3,225,110,35.00
LOC_UNIT_CATAPULT_NAME,LOC_TECH_ENGINEERING_NAME,ERA_CLASSICAL,3,305,120,35.00
LOC_UNIT_QUADRIREME_NAME,LOC_TECH_SHIPBUILDING_NAME,ERA_CLASSICAL,2,250,120,25.00
LOC_UNIT_EGYPTIAN_CHARIOT_ARCHER_NAME,LOC_TECH_THE_WHEEL_NAME,ERA_ANCIENT,2,105,120,35.00
LOC_UNIT_JAPANESE_SAMURAI_NAME,LOC_TECH_MILITARY_TACTICS_NAME,ERA_MEDIEVAL,5,695,180,45.00
LOC_UNIT_NORWEGIAN_BERSERKER_NAME,LOC_TECH_MILITARY_TACTICS_NAME,ERA_MEDIEVAL,5,695,180,40.00
LOC_UNIT_KNIGHT_NAME,LOC_TECH_STIRRUPS_NAME,ERA_MEDIEVAL,4,585,180,48.00
LOC_UNIT_INDIAN_VARU_NAME,LOC_TECH_HORSEBACK_RIDING_NAME,ERA_CLASSICAL,3,195,120,40.00
LOC_UNIT_ARABIAN_MAMLUK_NAME,LOC_TECH_STIRRUPS_NAME,ERA_MEDIEVAL,4,585,180,48.00
LOC_UNIT_CROSSBOWMAN_NAME,LOC_TECH_MACHINERY_NAME,ERA_MEDIEVAL,6,805,180,40.00
LOC_UNIT_CHINESE_CROUCHING_TIGER_NAME,LOC_TECH_MACHINERY_NAME,ERA_MEDIEVAL,6,805,160,50.00
LOC_UNIT_PIKEMAN_NAME,LOC_TECH_MILITARY_TACTICS_NAME,ERA_MEDIEVAL,5,695,200,41.00
LOC_UNIT_MUSKETMAN_NAME,LOC_TECH_GUNPOWDER_NAME,ERA_RENAISSANCE,13,2315,240,55.00
LOC_UNIT_SPANISH_CONQUISTADOR_NAME,LOC_TECH_GUNPOWDER_NAME,ERA_RENAISSANCE,13,2315,250,55.00
LOC_UNIT_CARAVEL_NAME,LOC_TECH_CARTOGRAPHY_NAME,ERA_RENAISSANCE,3,790,240,50.00
LOC_UNIT_BOMBARD_NAME,LOC_TECH_METAL_CASTING_NAME,ERA_RENAISSANCE,14,2975,280,55.00
LOC_UNIT_FRIGATE_NAME,LOC_TECH_SQUARE_RIGGING_NAME,ERA_RENAISSANCE,4,1450,280,55.00
LOC_UNIT_FIELD_CANNON_NAME,LOC_TECH_BALLISTICS_NAME,ERA_INDUSTRIAL,15,3820,330,60.00
LOC_UNIT_CAVALRY_NAME,LOC_TECH_MILITARY_SCIENCE_NAME,ERA_INDUSTRIAL,15,3715,330,62.00
LOC_UNIT_RUSSIAN_COSSACK_NAME,LOC_TECH_MILITARY_SCIENCE_NAME,ERA_INDUSTRIAL,15,3715,340,67.00
LOC_UNIT_ENGLISH_REDCOAT_NAME,LOC_TECH_MILITARY_SCIENCE_NAME,ERA_INDUSTRIAL,15,3715,340,65.00
LOC_UNIT_FRENCH_GARDE_IMPERIALE_NAME,LOC_TECH_MILITARY_SCIENCE_NAME,ERA_INDUSTRIAL,15,3715,340,65.00
LOC_UNIT_IRONCLAD_NAME,LOC_TECH_STEAM_POWER_NAME,ERA_INDUSTRIAL,16,5085,380,60.00
LOC_UNIT_AMERICAN_ROUGH_RIDER_NAME,LOC_TECH_RIFLING_NAME,ERA_INDUSTRIAL,25,8005,385,67.00
LOC_UNIT_RANGER_NAME,LOC_TECH_RIFLING_NAME,ERA_INDUSTRIAL,25,8005,380,60.00
LOC_UNIT_BIPLANE_NAME,LOC_TECH_FLIGHT_NAME,ERA_MODERN,20,7690,430,60.00
LOC_UNIT_INFANTRY_NAME,LOC_TECH_REPLACEABLE_PARTS_NAME,ERA_MODERN,21,7720,430,70.00
LOC_UNIT_ARTILLERY_NAME,LOC_TECH_STEEL_NAME,ERA_MODERN,26,9145,430,80.00
LOC_UNIT_BATTLESHIP_NAME,LOC_TECH_STEEL_NAME,ERA_MODERN,26,9145,430,70.00
LOC_UNIT_SUBMARINE_NAME,LOC_TECH_ELECTRICITY_NAME,ERA_MODERN,17,6335,480,75.00
LOC_UNIT_GERMAN_UBOAT_NAME,LOC_TECH_ELECTRICITY_NAME,ERA_MODERN,17,6335,430,75.00
LOC_UNIT_AT_CREW_NAME,LOC_TECH_CHEMISTRY_NAME,ERA_MODERN,15,5935,400,70.00
LOC_UNIT_TANK_NAME,LOC_TECH_COMBUSTION_NAME,ERA_MODERN,27,10395,480,80.00
LOC_UNIT_FIGHTER_NAME,LOC_TECH_ADVANCED_FLIGHT_NAME,ERA_ATOMIC,23,11320,520,80.00
LOC_UNIT_AMERICAN_P51_NAME,LOC_TECH_ADVANCED_FLIGHT_NAME,ERA_ATOMIC,23,11320,520,85.00
LOC_UNIT_BOMBER_NAME,LOC_TECH_ADVANCED_FLIGHT_NAME,ERA_ATOMIC,23,11320,560,90.00
LOC_UNIT_MACHINE_GUN_NAME,LOC_TECH_ADVANCED_BALLISTICS_NAME,ERA_ATOMIC,34,15300,540,75.00
LOC_UNIT_AIRCRAFT_CARRIER_NAME,LOC_TECH_COMBINED_ARMS_NAME,ERA_ATOMIC,28,11805,540,65.00
LOC_UNIT_DESTROYER_NAME,LOC_TECH_COMBINED_ARMS_NAME,ERA_ATOMIC,28,11805,540,80.00
LOC_UNIT_HELICOPTER_NAME,LOC_TECH_SYNTHETIC_MATERIALS_NAME,ERA_ATOMIC,29,13385,600,82.00
LOC_UNIT_NUCLEAR_SUBMARINE_NAME,LOC_TECH_TELECOMMUNICATIONS_NAME,ERA_INFORMATION,25,14590,680,85.00
LOC_UNIT_MECHANIZED_INFANTRY_NAME,LOC_TECH_SATELLITES_NAME,ERA_INFORMATION,27,16800,650,85.00
LOC_UNIT_ROCKET_ARTILLERY_NAME,LOC_TECH_GUIDANCE_SYSTEMS_NAME,ERA_INFORMATION,47,26975,680,95.00
LOC_UNIT_JET_FIGHTER_NAME,LOC_TECH_LASERS_NAME,ERA_INFORMATION,38,21390,650,90.00
LOC_UNIT_JET_BOMBER_NAME,LOC_TECH_STEALTH_TECHNOLOGY_NAME,ERA_INFORMATION,30,15235,700,100.00
LOC_UNIT_MISSILE_CRUISER_NAME,LOC_TECH_LASERS_NAME,ERA_INFORMATION,38,21390,680,85.00
LOC_UNIT_MODERN_AT_NAME,LOC_TECH_COMPOSITES_NAME,ERA_INFORMATION,30,15235,580,80.00
LOC_UNIT_MODERN_ARMOR_NAME,LOC_TECH_COMPOSITES_NAME,ERA_INFORMATION,30,15235,680,90.00
LOC_UNIT_AZTEC_EAGLE_WARRIOR_NAME,NO_TECH,ERA_ANCIENT,0,0,65,28.00
===TECHNOLOGIES===
Name,,Era,QuickestPathLength,QuickestPathCost,ResearchCost
LOC_TECH_POTTERY_NAME,,ERA_ANCIENT,1,25,25
LOC_TECH_ANIMAL_HUSBANDRY_NAME,,ERA_ANCIENT,1,25,25
LOC_TECH_MINING_NAME,,ERA_ANCIENT,1,25,25
LOC_TECH_SAILING_NAME,,ERA_ANCIENT,1,50,50
LOC_TECH_ASTROLOGY_NAME,,ERA_ANCIENT,1,50,50
LOC_TECH_IRRIGATION_NAME,,ERA_ANCIENT,2,75,50
LOC_TECH_ARCHERY_NAME,,ERA_ANCIENT,2,75,50
LOC_TECH_WRITING_NAME,,ERA_ANCIENT,2,75,50
LOC_TECH_MASONRY_NAME,,ERA_ANCIENT,2,105,80
LOC_TECH_BRONZE_WORKING_NAME,,ERA_ANCIENT,2,105,80
LOC_TECH_THE_WHEEL_NAME,,ERA_ANCIENT,2,105,80
LOC_TECH_CELESTIAL_NAVIGATION_NAME,,ERA_CLASSICAL,3,220,120
LOC_TECH_CURRENCY_NAME,,ERA_CLASSICAL,3,195,120
LOC_TECH_HORSEBACK_RIDING_NAME,,ERA_CLASSICAL,3,195,120
LOC_TECH_IRON_WORKING_NAME,,ERA_CLASSICAL,3,225,120
LOC_TECH_SHIPBUILDING_NAME,,ERA_CLASSICAL,2,250,200
LOC_TECH_MATHEMATICS_NAME,,ERA_CLASSICAL,4,395,200
LOC_TECH_CONSTRUCTION_NAME,,ERA_CLASSICAL,6,500,200
LOC_TECH_ENGINEERING_NAME,,ERA_CLASSICAL,3,305,200
LOC_TECH_MILITARY_TACTICS_NAME,,ERA_MEDIEVAL,5,695,300
LOC_TECH_APPRENTICESHIP_NAME,,ERA_MEDIEVAL,7,690,300
LOC_TECH_MACHINERY_NAME,,ERA_MEDIEVAL,6,805,300
LOC_TECH_EDUCATION_NAME,,ERA_MEDIEVAL,9,1280,390
LOC_TECH_STIRRUPS_NAME,,ERA_MEDIEVAL,4,585,390
LOC_TECH_MILITARY_ENGINEERING_NAME,,ERA_MEDIEVAL,7,890,390
LOC_TECH_CASTLES_NAME,,ERA_MEDIEVAL,7,890,390
LOC_TECH_CARTOGRAPHY_NAME,,ERA_RENAISSANCE,3,790,540
LOC_TECH_MASS_PRODUCTION_NAME,,ERA_RENAISSANCE,12,2070,540
LOC_TECH_BANKING_NAME,,ERA_RENAISSANCE,11,2210,540
LOC_TECH_GUNPOWDER_NAME,,ERA_RENAISSANCE,13,2315,540
LOC_TECH_PRINTING_NAME,,ERA_RENAISSANCE,7,1345,540
LOC_TECH_SQUARE_RIGGING_NAME,,ERA_RENAISSANCE,4,1450,660
LOC_TECH_ASTRONOMY_NAME,,ERA_RENAISSANCE,10,1940,660
LOC_TECH_METAL_CASTING_NAME,,ERA_RENAISSANCE,14,2975,660
LOC_TECH_SIEGE_TACTICS_NAME,,ERA_RENAISSANCE,8,1550,660
LOC_TECH_INDUSTRIALIZATION_NAME,,ERA_INDUSTRIAL,15,4115,845
LOC_TECH_SCIENTIFIC_THEORY_NAME,,ERA_INDUSTRIAL,13,3715,845
LOC_TECH_BALLISTICS_NAME,,ERA_INDUSTRIAL,15,3820,845
LOC_TECH_MILITARY_SCIENCE_NAME,,ERA_INDUSTRIAL,15,3715,845
LOC_TECH_STEAM_POWER_NAME,,ERA_INDUSTRIAL,16,5085,970
LOC_TECH_SANITATION_NAME,,ERA_INDUSTRIAL,14,4685,970
LOC_TECH_ECONOMICS_NAME,,ERA_INDUSTRIAL,20,6580,970
LOC_TECH_RIFLING_NAME,,ERA_INDUSTRIAL,25,8005,970
LOC_TECH_FLIGHT_NAME,,ERA_MODERN,20,7690,1140
LOC_TECH_REPLACEABLE_PARTS_NAME,,ERA_MODERN,21,7720,1140
LOC_TECH_STEEL_NAME,,ERA_MODERN,26,9145,1140
LOC_TECH_ELECTRICITY_NAME,,ERA_MODERN,17,6335,1250
LOC_TECH_RADIO_NAME,,ERA_MODERN,22,9910,1250
LOC_TECH_CHEMISTRY_NAME,,ERA_MODERN,15,5935,1250
LOC_TECH_COMBUSTION_NAME,,ERA_MODERN,27,10395,1250
